Date;Moneda;valor
14/11/2020;EUR;1.1815
13/11/2020;EUR;1.1815
12/11/2020;EUR;1.1791
11/11/2020;EUR;1.1766
10/11/2020;EUR;1.1808
09/11/2020;EUR;1.1883
08/11/2020;EUR;1.187
07/11/2020;EUR;1.187
06/11/2020;EUR;1.187
05/11/2020;EUR;1.1855
04/11/2020;EUR;1.1721
03/11/2020;EUR;1.1702
02/11/2020;EUR;1.1652
01/11/2020;EUR;1.1698
31/10/2020;EUR;1.1698
30/10/2020;EUR;1.1698
29/10/2020;EUR;1.1704
28/10/2020;EUR;1.1727
27/10/2020;EUR;1.1832
26/10/2020;EUR;1.1819
25/10/2020;EUR;1.1856
24/10/2020;EUR;1.1856
23/10/2020;EUR;1.1856
22/10/2020;EUR;1.1821
21/10/2020;EUR;1.1852
20/10/2020;EUR;1.181
19/10/2020;EUR;1.1785
18/10/2020;EUR;1.1741
17/10/2020;EUR;1.1741
16/10/2020;EUR;1.1741
15/10/2020;EUR;1.1698
14/10/2020;EUR;1.175
13/10/2020;EUR;1.1787
12/10/2020;EUR;1.1799
11/10/2020;EUR;1.1795
10/10/2020;EUR;1.1795
09/10/2020;EUR;1.1795
08/10/2020;EUR;1.1765
07/10/2020;EUR;1.177
06/10/2020;EUR;1.1795
05/10/2020;EUR;1.1768
04/10/2020;EUR;1.173
03/10/2020;EUR;1.173
02/10/2020;EUR;1.173
01/10/2020;EUR;1.1752
30/09/2020;EUR;1.1708
29/09/2020;EUR;1.1702
28/09/2020;EUR;1.167
27/09/2020;EUR;1.1634
26/09/2020;EUR;1.1634
25/09/2020;EUR;1.1634
24/09/2020;EUR;1.1645
23/09/2020;EUR;1.1692
22/09/2020;EUR;1.174
21/09/2020;EUR;1.1787
20/09/2020;EUR;1.1833
19/09/2020;EUR;1.1833
18/09/2020;EUR;1.1833
17/09/2020;EUR;1.1797
16/09/2020;EUR;1.1869
15/09/2020;EUR;1.1892
14/09/2020;EUR;1.1876
13/09/2020;EUR;1.1854
12/09/2020;EUR;1.1854
11/09/2020;EUR;1.1854
10/09/2020;EUR;1.1849
09/09/2020;EUR;1.1773
08/09/2020;EUR;1.1785
07/09/2020;EUR;1.1824
06/09/2020;EUR;1.1842
05/09/2020;EUR;1.1842
04/09/2020;EUR;1.1842
03/09/2020;EUR;1.1813
02/09/2020;EUR;1.1861
01/09/2020;EUR;1.1987
31/08/2020;EUR;1.194
30/08/2020;EUR;1.1915
29/08/2020;EUR;1.1915
28/08/2020;EUR;1.1915
27/08/2020;EUR;1.1806
26/08/2020;EUR;1.1789
25/08/2020;EUR;1.1814
24/08/2020;EUR;1.1847
23/08/2020;EUR;1.1769
22/08/2020;EUR;1.1769
21/08/2020;EUR;1.1769
20/08/2020;EUR;1.185
19/08/2020;EUR;1.1933
18/08/2020;EUR;1.1906
17/08/2020;EUR;1.1853
16/08/2020;EUR;1.1813
15/08/2020;EUR;1.1813
14/08/2020;EUR;1.1813
13/08/2020;EUR;1.1833
12/08/2020;EUR;1.1771
11/08/2020;EUR;1.1783
10/08/2020;EUR;1.1763
09/08/2020;EUR;1.1817
08/08/2020;EUR;1.1817
07/08/2020;EUR;1.1817
06/08/2020;EUR;1.1843
05/08/2020;EUR;1.1854
04/08/2020;EUR;1.1765
03/08/2020;EUR;1.1726
02/08/2020;EUR;1.1848
01/08/2020;EUR;1.1848
31/07/2020;EUR;1.1848
30/07/2020;EUR;1.1743
29/07/2020;EUR;1.1725
28/07/2020;EUR;1.1717
27/07/2020;EUR;1.176
26/07/2020;EUR;1.1608
25/07/2020;EUR;1.1608
24/07/2020;EUR;1.1608
23/07/2020;EUR;1.1569
22/07/2020;EUR;1.1578
21/07/2020;EUR;1.1443
20/07/2020;EUR;1.1448
19/07/2020;EUR;1.1428
18/07/2020;EUR;1.1428
17/07/2020;EUR;1.1428
16/07/2020;EUR;1.1414
15/07/2020;EUR;1.1444
14/07/2020;EUR;1.1375
13/07/2020;EUR;1.1329
12/07/2020;EUR;1.1276
11/07/2020;EUR;1.1276
10/07/2020;EUR;1.1276
09/07/2020;EUR;1.1342
08/07/2020;EUR;1.1286
07/07/2020;EUR;1.129
06/07/2020;EUR;1.1325
05/07/2020;EUR;1.1224
04/07/2020;EUR;1.1224
03/07/2020;EUR;1.1224
02/07/2020;EUR;1.1286
01/07/2020;EUR;1.12
30/06/2020;EUR;1.1198
29/06/2020;EUR;1.1284
28/06/2020;EUR;1.1213
27/06/2020;EUR;1.1213
26/06/2020;EUR;1.1213
25/06/2020;EUR;1.12
24/06/2020;EUR;1.128
23/06/2020;EUR;1.1318
22/06/2020;EUR;1.1213
21/06/2020;EUR;1.121
20/06/2020;EUR;1.121
19/06/2020;EUR;1.121
18/06/2020;EUR;1.1222
17/06/2020;EUR;1.1232
16/06/2020;EUR;1.1308
15/06/2020;EUR;1.1253
14/06/2020;EUR;1.1304
13/06/2020;EUR;1.1304
12/06/2020;EUR;1.1304
11/06/2020;EUR;1.1348
10/06/2020;EUR;1.1375
09/06/2020;EUR;1.1294
08/06/2020;EUR;1.1285
07/06/2020;EUR;1.133
06/06/2020;EUR;1.133
05/06/2020;EUR;1.133
04/06/2020;EUR;1.125
03/06/2020;EUR;1.1194
02/06/2020;EUR;1.1174
01/06/2020;EUR;1.1116
31/05/2020;EUR;1.1136
30/05/2020;EUR;1.1136
29/05/2020;EUR;1.1136
28/05/2020;EUR;1.1016
27/05/2020;EUR;1.0991
26/05/2020;EUR;1.0975
25/05/2020;EUR;1.091
24/05/2020;EUR;1.0904
23/05/2020;EUR;1.0904
22/05/2020;EUR;1.0904
21/05/2020;EUR;1.1
20/05/2020;EUR;1.0958
19/05/2020;EUR;1.095
18/05/2020;EUR;1.0832
17/05/2020;EUR;1.0798
16/05/2020;EUR;1.0798
15/05/2020;EUR;1.0798
14/05/2020;EUR;1.0792
13/05/2020;EUR;1.0875
12/05/2020;EUR;1.0858
11/05/2020;EUR;1.0824
10/05/2020;EUR;1.0843
09/05/2020;EUR;1.0843
08/05/2020;EUR;1.0843
07/05/2020;EUR;1.0783
06/05/2020;EUR;1.0807
05/05/2020;EUR;1.0843
04/05/2020;EUR;1.0942
03/05/2020;EUR;1.0876
02/05/2020;EUR;1.0876
01/05/2020;EUR;1.0876
30/04/2020;EUR;1.0876
29/04/2020;EUR;1.0842
28/04/2020;EUR;1.0877
27/04/2020;EUR;1.0852
26/04/2020;EUR;1.08
25/04/2020;EUR;1.08
24/04/2020;EUR;1.08
23/04/2020;EUR;1.0772
22/04/2020;EUR;1.0867
21/04/2020;EUR;1.0837
20/04/2020;EUR;1.086
19/04/2020;EUR;1.086
18/04/2020;EUR;1.086
17/04/2020;EUR;1.086
16/04/2020;EUR;1.0888
15/04/2020;EUR;1.0903
14/04/2020;EUR;1.0963
13/04/2020;EUR;1.0867
12/04/2020;EUR;1.0867
11/04/2020;EUR;1.0867
10/04/2020;EUR;1.0867
09/04/2020;EUR;1.0867
08/04/2020;EUR;1.0871
07/04/2020;EUR;1.0885
06/04/2020;EUR;1.0791
05/04/2020;EUR;1.0785
04/04/2020;EUR;1.0785
03/04/2020;EUR;1.0785
02/04/2020;EUR;1.0906
01/04/2020;EUR;1.0936
31/03/2020;EUR;1.0956
30/03/2020;EUR;1.1034
29/03/2020;EUR;1.0977
28/03/2020;EUR;1.0977
27/03/2020;EUR;1.0977
26/03/2020;EUR;1.0981
25/03/2020;EUR;1.0827
24/03/2020;EUR;1.0843
23/03/2020;EUR;1.0783
22/03/2020;EUR;1.0707
21/03/2020;EUR;1.0707
20/03/2020;EUR;1.0707
19/03/2020;EUR;1.0801
18/03/2020;EUR;1.0934
17/03/2020;EUR;1.0982
16/03/2020;EUR;1.1157
15/03/2020;EUR;1.1104
14/03/2020;EUR;1.1104
13/03/2020;EUR;1.1104
12/03/2020;EUR;1.124
11/03/2020;EUR;1.1336
10/03/2020;EUR;1.139
09/03/2020;EUR;1.1456
08/03/2020;EUR;1.1336
07/03/2020;EUR;1.1336
06/03/2020;EUR;1.1336
05/03/2020;EUR;1.1187
04/03/2020;EUR;1.1125
03/03/2020;EUR;1.1117
02/03/2020;EUR;1.1122
01/03/2020;EUR;1.0977
29/02/2020;EUR;1.0977
28/02/2020;EUR;1.0977
27/02/2020;EUR;1.0964
26/02/2020;EUR;1.0875
25/02/2020;EUR;1.084
24/02/2020;EUR;1.0818
23/02/2020;EUR;1.0801
22/02/2020;EUR;1.0801
21/02/2020;EUR;1.0801
20/02/2020;EUR;1.079
19/02/2020;EUR;1.08
18/02/2020;EUR;1.0816
17/02/2020;EUR;1.0835
16/02/2020;EUR;1.0842
15/02/2020;EUR;1.0842
14/02/2020;EUR;1.0842
13/02/2020;EUR;1.0867
12/02/2020;EUR;1.0914
11/02/2020;EUR;1.0901
10/02/2020;EUR;1.0951
09/02/2020;EUR;1.0969
08/02/2020;EUR;1.0969
07/02/2020;EUR;1.0969
06/02/2020;EUR;1.1003
05/02/2020;EUR;1.1023
04/02/2020;EUR;1.1048
03/02/2020;EUR;1.1066
02/02/2020;EUR;1.1052
01/02/2020;EUR;1.1052
31/01/2020;EUR;1.1052
